cardID,face,suit,nextAce,prevAce,nextTab1,nextTab2,prevTab1,prevTab2
1,1,c,2,0,15,28,0,0
2,2,c,3,1,16,29,14,27
3,3,c,4,2,17,30,15,28
4,4,c,5,3,18,31,16,29
5,5,c,6,4,19,32,17,30
6,6,c,7,5,20,33,18,31
7,7,c,8,6,21,34,19,32
8,8,c,9,7,22,35,20,33
9,9,c,10,8,23,36,21,34
10,10,c,11,9,24,37,22,35
11,11,c,12,10,25,38,23,36
12,12,c,13,11,26,39,24,37
13,13,c,0,12,0,0,25,38
14,1,d,15,0,2,41,0,0
15,2,d,16,14,3,42,1,40
16,3,d,17,15,4,43,2,41
17,4,d,18,16,5,44,3,42
18,5,d,19,17,6,45,4,43
19,6,d,20,18,7,46,5,44
20,7,d,21,19,8,47,6,45
21,8,d,22,20,9,48,7,46
22,9,d,23,21,10,49,8,47
23,10,d,24,22,11,50,9,48
24,11,d,25,23,12,51,10,49
25,12,d,26,24,13,52,11,50
26,13,d,0,25,0,0,12,51
27,1,h,28,0,2,41,0,0
28,2,h,29,27,3,42,1,40
29,3,h,30,28,4,43,2,41
30,4,h,31,29,5,44,3,42
31,5,h,32,30,6,45,4,43
32,6,h,33,31,7,46,5,44
33,7,h,34,32,8,47,6,45
34,8,h,35,33,9,48,7,46
35,9,h,36,34,10,49,8,47
36,10,h,37,35,11,50,9,48
37,11,h,38,36,12,51,10,49
38,12,h,39,37,13,52,11,50
39,13,h,0,38,0,0,12,51
40,1,s,41,0,15,28,0,0
41,2,s,42,40,16,29,14,27
42,3,s,43,41,17,30,15,28
43,4,s,44,42,18,31,16,29
44,5,s,45,43,19,32,17,30
45,6,s,46,44,20,33,18,31
46,7,s,47,45,21,34,19,32
47,8,s,48,46,22,35,20,33
48,9,s,49,47,23,36,21,34
49,10,s,50,48,24,37,22,35
50,11,s,51,49,25,38,23,36
51,12,s,52,50,26,39,24,37
52,13,s,0,51,0,0,25,38
